iter	MultiClass
426	0.1806891801
427	0.1801594106
428	0.1798973281
429	0.1795048621
430	0.1790509307
431	0.1785830547
432	0.1782658546
433	0.1779758087
434	0.1771928743
435	0.1766832367
436	0.1762570346
437	0.1759130008
438	0.1757899965
439	0.1755324357
440	0.1749948393
441	0.1745841547
442	0.174096079
443	0.1738792844
444	0.1736004434
445	0.1732025019
446	0.1727882013
447	0.1725246676
448	0.1721076016
449	0.1716891261
450	0.1712295551
451	0.1709291231
452	0.1704871055
453	0.1699865823
454	0.1695674755
455	0.1692130713
456	0.1690305316
457	0.1687446597
458	0.1684500899
459	0.1681458139
460	0.1679424742
461	0.1674306186
462	0.1672299486
463	0.1667428013
464	0.1664732221
465	0.1661477228
466	0.1656935152
467	0.1651229924
468	0.1648214936
469	0.1641484754
470	0.1636706039
471	0.163480437
472	0.1632857611
473	0.1629510554
474	0.1623314295
475	0.1619913549
476	0.16161387
477	0.1614340601
478	0.1610855078
479	0.1606940661
480	0.1602668787
481	0.1596229828
482	0.1589589266
483	0.1587286359
484	0.1584314695
485	0.1581246823
486	0.1577959928
487	0.1572139519
488	0.1566561198
489	0.1563227382
490	0.1559044538
491	0.1556735748
492	0.1554153164
493	0.1551474337
494	0.1548050661
495	0.1546177048
496	0.1543543323
497	0.1540017364
498	0.1536890764
499	0.1533888948
500	0.1528816546
501	0.1524794306
502	0.1523269522
503	0.1521244025
504	0.1517967412
505	0.1514371367
506	0.1510765836
507	0.1504795318
508	0.1502186698
509	0.1499478244
510	0.1496756205
511	0.1492897151
512	0.1488716401
513	0.1486563108
514	0.1483926525
515	0.1478945294
516	0.1476838167
517	0.147450109
518	0.147177165
519	0.1467529939
520	0.1462853316
521	0.1459909026
522	0.1458096674
523	0.145436751
524	0.1452309761
525	0.1450063645
526	0.1447835541
527	0.1446388474
528	0.1442738431
529	0.1438257416
530	0.1435259485
531	0.1433072113
532	0.1432334818
533	0.1428142576
534	0.1422765218
535	0.1418189515
536	0.1415381647
537	0.1414166158
538	0.1412358481
539	0.1408842592
540	0.1405174724
541	0.1401317425
542	0.139950697
543	0.1396545412
544	0.13944918
545	0.1391656286
546	0.13906158
547	0.1387089116
548	0.1384703369
549	0.1380826379
550	0.137905587
551	0.1376761764
552	0.1373816481
553	0.1371858097
554	0.1369608942
555	0.1366125165
556	0.1361697378
557	0.1358744507
558	0.1358078384
559	0.1354510851
560	0.1351568395
561	0.134882843
562	0.1346442206
563	0.1344609801
564	0.134159943
565	0.1339595001
566	0.1337858309
567	0.1335747567
568	0.1333238453
569	0.1329658003
570	0.1327942953
571	0.132444789
572	0.1320865448
573	0.1319753303
574	0.1317270836
575	0.131485373
576	0.1313476483
577	0.131021794
578	0.1308067177
579	0.1305957932
580	0.130453617
581	0.1302983839
582	0.1301405759
583	0.1298638835
584	0.1297163286
585	0.1296010686
586	0.1291675664
587	0.1287999706
588	0.1286745282
589	0.1280909953
590	0.1279233663
591	0.1277267427
592	0.127240802
593	0.1271193078
594	0.1268922913
595	0.1267530404
596	0.1266342694
597	0.1264544007
598	0.126366783
599	0.1261251205
600	0.12587727
601	0.1256668853
602	0.1255168677
603	0.1253563181
604	0.1253204864
605	0.1251824787
606	0.1250328072
