iter	MultiClass
0	1.340502419
1	1.311052275
2	1.283049381
3	1.250950629
4	1.223830674
5	1.199667895
6	1.17854364
7	1.158699241
8	1.140303154
9	1.122580931
10	1.106950429
11	1.089575941
12	1.069628139
13	1.056405495
14	1.042226565
15	1.027283604
16	1.016497447
17	1.00244152
18	0.9910281368
19	0.9795325005
20	0.9667032915
21	0.9557511589
22	0.9424530243
23	0.9355280192
24	0.9257621036
25	0.9131647354
26	0.9044158128
27	0.8962911771
28	0.885135934
29	0.8773238085
30	0.8697537926
31	0.858866434
32	0.8524405515
33	0.8389943771
34	0.8299496114
35	0.8213359717
36	0.8125799054
37	0.8072664703
38	0.8006165687
39	0.7979637791
40	0.790407327
41	0.7847034772
42	0.7774644349
43	0.7718525018
44	0.7621656369
45	0.7567423616
46	0.7521905985
47	0.7459165693
48	0.7421989651
49	0.7393692768
50	0.7363081359
51	0.7282867915
52	0.7228143112
53	0.7163837557
54	0.7113874911
55	0.7045236036
56	0.7021447292
57	0.6988839334
58	0.6933162417
59	0.6894634026
60	0.6846842327
61	0.6799537031
62	0.6767136132
63	0.6716775412
64	0.665255354
65	0.6615743494
66	0.6544527915
67	0.647500601
68	0.6437227111
69	0.6382720115
70	0.6360190236
71	0.6319763372
72	0.6271526894
73	0.6226587492
74	0.6182523876
75	0.6157837905
76	0.609922068
77	0.6057928117
78	0.6032642434
79	0.6008367318
80	0.5970143825
81	0.5934791073
82	0.588390819
83	0.5867156941
84	0.5823929802
85	0.5789112308
86	0.5758864395
87	0.5721400975
88	0.5688725177
89	0.5637569042
90	0.5613726708
91	0.5576764819
92	0.5554772705
93	0.5529604503
94	0.5502394015
95	0.5474205375
96	0.5454461457
97	0.5437712798
98	0.5400795486
99	0.5358026963
100	0.5309804402
101	0.5285793192
102	0.5253222741
103	0.5213914943
104	0.5153740014
105	0.5115981475
106	0.5098970728
107	0.5076070429
108	0.5036825615
109	0.5012130155
110	0.4975411687
111	0.4923304879
112	0.4906676253
113	0.4876253124
114	0.4861987007
115	0.483283257
116	0.4809819486
117	0.4768921217
118	0.4744317894
119	0.4730535238
120	0.4709305235
121	0.4687382721
122	0.4673134488
123	0.4657473456
124	0.4638275212
125	0.4612654273
126	0.4598958924
127	0.4571546912
128	0.4552147567
129	0.4529651837
130	0.4502181011
131	0.4485831054
132	0.4456609486
133	0.4438513608
134	0.4407028336
135	0.438254453
136	0.436453261
137	0.4346047962
138	0.4313285579
139	0.4302519106
140	0.4286012768
141	0.4257847727
142	0.4240333395
143	0.4215101489
144	0.418709626
145	0.4167002444
146	0.4143347427
147	0.4129399536
148	0.411562577
149	0.4088628192
150	0.4067777782
151	0.4054753082
152	0.4040125334
153	0.4025288974
154	0.4009136695
155	0.3995227416
156	0.3979814328
157	0.3955404242
158	0.3948772676
159	0.3940139564
160	0.3924036242
161	0.390962287
162	0.3891422675
163	0.3865831412
164	0.3850581092
165	0.3833951927
166	0.3825042457
167	0.3805971599
168	0.3794300416
169	0.377771366
170	0.377044094
171	0.3742407822
172	0.3733785101
173	0.3718272808
174	0.3706589827
175	0.3695106677
176	0.3683452902
177	0.3666910383
178	0.3658176373
179	0.3646647688
180	0.3626511606
181	0.3619030535
182	0.3604410512
183	0.3600101619
184	0.3592194376
185	0.3570239775
186	0.3557830383
187	0.3536504057
188	0.3528778408
189	0.3520050253
190	0.3512062414
191	0.3501604156
192	0.3482598211
193	0.3472285492
194	0.3453756171
195	0.3439503596
196	0.3430188354
197	0.341852296
198	0.3404453712
199	0.3387641182
200	0.3370360955
201	0.3358765811
202	0.3348982008
203	0.3327620214
204	0.3319508363
205	0.3304429345
206	0.3297354459
207	0.3284100034
208	0.3270894035
209	0.3259131531
210	0.3242939647
211	0.3230259941
212	0.3223740222
213	0.3218478313
214	0.3208102332
215	0.3194293623
216	0.3185151983
217	0.3174901572
218	0.3171486802
219	0.3166393126
220	0.3157739082
221	0.3146591721
222	0.3135840481
223	0.312488891
224	0.3117086647
225	0.3105097365
226	0.3094557252
227	0.3082871009
228	0.3075451577
229	0.3064507297
230	0.3050905762
231	0.3039292943
232	0.3017999285
233	0.3010346919
234	0.3001033061
235	0.2995353832
236	0.2984412455
237	0.2979415184
238	0.2969603981
239	0.296328796
240	0.2955240107
241	0.2947748557
242	0.293766872
243	0.2929437719
244	0.2923578875
245	0.291228151
246	0.2905225547
247	0.2896681589
248	0.2886724491
249	0.2881465514
250	0.2871540541
251	0.2865579145
252	0.2857934373
253	0.2845847219
254	0.2840419868
255	0.2834260284
256	0.2828597382
257	0.2818552458
258	0.2810093737
259	0.2801379537
260	0.2792752534
261	0.2783191333
262	0.2776262808
263	0.2768501745
264	0.276076048
265	0.2753169166
266	0.2744332143
267	0.2729810969
268	0.2721594938
269	0.2708626473
270	0.2703902661
271	0.269356317
272	0.2685817612
273	0.2680897656
274	0.2673814244
275	0.2666111569
276	0.2656814781
277	0.2647575141
278	0.2637873085
279	0.2631463471
280	0.262635649
281	0.2617139502
282	0.2612759719
283	0.2604097313
284	0.2600529368
285	0.2597192791
286	0.259152699
287	0.2578950035
288	0.2567289899
289	0.2561545638
290	0.2556934962
291	0.2549561217
292	0.2539611011
293	0.253109922
294	0.2523173753
295	0.2514777701
296	0.2502540037
297	0.2491322646
298	0.2482772517
299	0.2475401493
300	0.2470560964
301	0.2460856953
302	0.2455609817
303	0.2447018512
304	0.2439746839
305	0.2434587329
306	0.2428200642
307	0.2419055931
308	0.241361357
309	0.240629695
310	0.2396266659
311	0.2391667648
312	0.2383272392
313	0.2376582732
314	0.2365963435
315	0.2360834
316	0.2355601579
317	0.2348878845
318	0.2346161952
319	0.234068585
320	0.2333793335
321	0.2328347207
322	0.2323927169
323	0.2315537874
324	0.2309677765
325	0.230313763
326	0.2299325215
327	0.229156575
328	0.2283975153
329	0.2274278216
330	0.2267424171
331	0.2263411596
332	0.2256773445
333	0.224852728
334	0.2241356216
335	0.2238841572
336	0.2233375674
337	0.2227454002
338	0.2220560325
339	0.221185371
340	0.220234288
341	0.2195240584
342	0.2191652331
343	0.2186637585
344	0.2181887023
345	0.2177288415
346	0.2172669242
347	0.2169416914
348	0.2162877998
349	0.2156744335
350	0.2151983645
351	0.2148421649
352	0.2146258236
353	0.2142733511
354	0.2138647283
355	0.2133906775
356	0.2129933521
357	0.2123049365
358	0.2118078979
359	0.2114959374
360	0.2108911183
361	0.2102690198
362	0.2093992219
363	0.2089633974
364	0.208730961
365	0.2084402325
366	0.2074638437
367	0.2071079569
368	0.2068617545
369	0.2065375738
370	0.2058403553
371	0.2053899685
372	0.2047407383
373	0.2041169482
374	0.2039081534
375	0.2033065359
376	0.2028182956
377	0.2023504543
378	0.2021775771
379	0.2017657316
380	0.2010987587
381	0.2005899858
382	0.200024614
383	0.1997292193
384	0.1993597604
385	0.1988902661
386	0.1985652845
387	0.1983397529
388	0.197478345
389	0.1969347871
390	0.1965518124
391	0.1958589412
392	0.19531091
393	0.1947377569
394	0.1942058015
395	0.1939779788
396	0.1933913175
397	0.1929916334
398	0.1925801297
399	0.1921191842
400	0.1916630054
401	0.1912237543
402	0.1909692722
403	0.190133687
404	0.1896073304
405	0.1891788768
406	0.1887363482
407	0.1881261156
408	0.1877972827
409	0.1874988652
410	0.1868149893
411	0.1862846912
412	0.1858601926
413	0.1853756134
414	0.1849618871
415	0.1844165274
416	0.1842808471
417	0.1837115006
418	0.1834291626
419	0.1831875066
420	0.182990049
421	0.1825880516
422	0.1822042377
423	0.1817480913
424	0.1813425443
425	0.1810936163
