iter	Passed	Remaining
0	163	163422
1	172	86109
2	182	60806
3	194	48437
4	205	40926
5	220	36470
6	234	33222
7	248	30858
8	262	28956
9	276	27401
10	288	25978
11	303	25022
12	317	24135
13	331	23320
14	344	22645
15	359	22101
16	375	21723
17	389	21251
18	400	20669
19	414	20312
20	427	19945
21	441	19633
22	456	19402
23	469	19088
24	481	18778
25	495	18549
26	507	18282
27	519	18032
28	531	17794
29	544	17593
30	556	17380
31	567	17166
32	577	16936
33	589	16748
34	600	16542
35	612	16408
36	624	16245
37	635	16077
38	645	15896
39	657	15779
40	671	15702
41	681	15542
42	694	15452
43	706	15353
44	719	15260
45	729	15131
46	742	15058
47	756	14999
48	769	14925
49	781	14842
50	792	14743
51	804	14659
52	815	14570
53	825	14465
54	836	14378
55	848	14307
56	858	14201
57	872	14168
58	886	14137
59	897	14059
60	911	14030
61	926	14012
62	941	14005
63	955	13972
64	971	13973
65	985	13949
66	999	13923
67	1013	13891
68	1026	13853
69	1042	13851
70	1054	13803
71	1067	13761
72	1081	13729
73	1093	13684
74	1106	13652
75	1122	13649
76	1137	13630
77	1150	13594
78	1163	13563
79	1179	13561
80	1206	13683
81	1216	13616
82	1226	13550
83	1238	13502
84	1249	13449
85	1260	13399
86	1272	13357
87	1287	13338
88	1299	13302
89	1311	13261
90	1323	13221
91	1347	13300
92	1359	13258
93	1371	13215
94	1385	13194
95	1399	13180
96	1411	13138
97	1422	13089
98	1435	13061
99	1447	13024
100	1457	12975
101	1468	12925
102	1480	12892
103	1491	12851
104	1502	12807
105	1514	12776
106	1528	12755
107	1541	12729
108	1552	12687
109	1564	12661
110	1579	12652
111	1592	12627
112	1605	12599
113	1616	12561
114	1629	12536
115	1640	12503
116	1650	12459
117	1661	12419
118	1674	12395
119	1685	12359
120	1698	12336
121	1710	12312
122	1722	12284
123	1751	12371
124	1764	12348
125	1777	12326
126	1790	12306
127	1802	12277
128	1815	12257
129	1830	12250
130	1845	12239
131	1857	12216
132	1868	12179
133	1879	12144
134	1891	12119
135	1901	12080
136	1911	12041
137	1923	12012
138	1933	11978
139	1944	11946
140	1958	11931
141	1972	11916
142	1987	11908
143	1999	11888
144	2016	11891
145	2030	11878
146	2045	11871
147	2060	11858
148	2077	11862
149	2090	11843
150	2103	11829
151	2115	11803
152	2126	11774
153	2140	11756
154	2153	11740
155	2165	11713
156	2177	11689
157	2192	11684
158	2206	11670
159	2221	11663
160	2235	11649
161	2248	11630
162	2261	11612
163	2276	11606
164	2291	11596
165	2304	11579
166	2318	11562
167	2331	11545
168	2342	11520
169	2355	11498
170	2366	11473
171	2377	11445
172	2391	11430
173	2404	11413
174	2416	11394
175	2429	11376
176	2441	11353
177	2456	11341
178	2469	11325
179	2482	11309
180	2497	11302
181	2509	11280
182	2520	11253
183	2533	11237
184	2546	11218
185	2560	11205
186	2572	11182
187	2585	11168
188	2598	11149
189	2609	11126
190	2624	11116
191	2638	11101
192	2653	11093
193	2666	11078
194	2682	11075
195	2699	11074
196	2712	11057
197	2723	11033
198	2735	11009
199	2747	10989
200	2759	10968
201	2770	10946
202	2783	10928
203	2795	10907
204	2807	10886
205	2818	10862
206	2829	10841
207	2843	10826
208	2856	10809
209	2867	10785
210	2883	10780
211	2897	10771
212	2913	10763
213	2925	10744
214	2938	10728
215	2952	10715
216	2964	10697
217	2980	10690
218	2993	10675
219	3005	10656
220	3017	10636
221	3028	10614
222	3041	10598
223	3056	10587
224	3070	10575
225	3084	10563
226	3097	10548
227	3115	10549
228	3137	10562
229	3152	10555
230	3164	10533
231	3178	10521
