iter	Passed	Remaining
232	3193	10512
233	3206	10496
234	3217	10475
235	3227	10449
236	3239	10430
237	3249	10405
238	3259	10379
239	3271	10360
240	3285	10345
241	3300	10339
242	3316	10330
243	3328	10312
244	3342	10299
245	3355	10284
246	3368	10270
247	3381	10254
248	3393	10235
249	3408	10224
250	3421	10211
251	3437	10204
252	3451	10189
253	3465	10178
254	3478	10162
255	3492	10149
256	3508	10142
257	3522	10129
258	3536	10118
259	3552	10110
260	3568	10103
261	3583	10094
262	3599	10087
263	3615	10080
264	3630	10069
265	3647	10063
266	3660	10050
267	3674	10036
268	3687	10020
269	3702	10011
270	3714	9991
271	3726	9974
272	3738	9956
273	3750	9938
274	3763	9920
275	3773	9899
276	3784	9877
277	3797	9863
278	3810	9847
279	3821	9827
280	3836	9816
281	3851	9805
282	3865	9793
283	3879	9781
284	3894	9770
285	3908	9757
286	3923	9746
287	3936	9731
288	3950	9718
289	3963	9703
290	3974	9683
291	3989	9672
292	4003	9660
293	4017	9647
294	4032	9636
295	4048	9628
296	4062	9614
297	4075	9600
298	4089	9588
299	4105	9579
300	4120	9569
301	4133	9552
302	4146	9538
303	4159	9523
304	4172	9507
305	4182	9485
306	4194	9468
307	4205	9449
308	4218	9432
309	4230	9415
310	4243	9402
311	4256	9386
312	4268	9369
313	4280	9351
314	4293	9336
315	4306	9321
316	4319	9306
317	4330	9286
318	4341	9268
319	4355	9254
320	4366	9235
321	4378	9220
322	4390	9202
323	4402	9186
324	4415	9170
325	4427	9153
326	4441	9140
327	4453	9125
328	4466	9109
329	4477	9091
330	4492	9080
331	4506	9068
332	4519	9052
333	4530	9034
334	4545	9022
335	4557	9006
336	4571	8994
337	4583	8977
338	4593	8957
339	4619	8967
340	4630	8947
341	4639	8927
342	4652	8912
343	4664	8895
344	4676	8877
345	4688	8862
346	4701	8847
347	4715	8834
348	4728	8819
349	4739	8802
350	4752	8788
351	4764	8771
352	4774	8751
353	4785	8733
354	4796	8715
355	4807	8696
356	4821	8684
357	4837	8674
358	4853	8665
359	4868	8655
360	4883	8644
361	4898	8632
362	4913	8622
363	4929	8613
364	4946	8605
365	4963	8598
366	4977	8585
367	4995	8578
368	5011	8570
369	5031	8567
370	5053	8567
371	5067	8555
372	5084	8546
373	5100	8537
374	5118	8530
375	5133	8519
376	5146	8505
377	5161	8493
378	5176	8481
379	5189	8467
380	5202	8451
381	5217	8440
382	5233	8430
383	5247	8417
384	5262	8405
385	5279	8397
386	5294	8386
387	5309	8374
388	5320	8356
389	5330	8338
390	5342	8321
391	5352	8302
392	5364	8285
393	5379	8273
394	5391	8258
395	5404	8243
396	5418	8229
397	5430	8213
398	5444	8200
399	5456	8185
400	5473	8176
401	5487	8163
402	5499	8146
403	5513	8134
404	5528	8121
405	5541	8107
406	5552	8090
407	5564	8074
408	5576	8058
409	5589	8042
410	5601	8027
411	5613	8012
412	5628	7999
413	5642	7986
414	5657	7974
415	5669	7959
416	5683	7946
417	5696	7931
418	5707	7913
419	5719	7898
420	5730	7881
421	5741	7863
422	5754	7849
423	5765	7832
424	5776	7815
425	5790	7802
426	5804	7788
427	5815	7772
428	5827	7756
429	5840	7741
430	5853	7727
431	5864	7711
432	5876	7695
433	5889	7680
434	5901	7665
435	5917	7654
436	5931	7641
437	5942	7624
438	5953	7607
439	5964	7591
440	5975	7573
441	6001	7576
442	6013	7561
443	6029	7550
444	6044	7538
445	6058	7525
446	6072	7512
447	6085	7498
448	6098	7483
449	6112	7470
450	6126	7457
451	6142	7446
452	6159	7437
453	6174	7426
454	6188	7412
455	6202	7399
456	6216	7386
457	6230	7373
458	6243	7359
459	6258	7346
460	6271	7332
461	6287	7321
462	6300	7308
463	6317	7297
464	6336	7289
465	6354	7281
466	6370	7270
467	6385	7258
468	6400	7246
469	6416	7235
470	6432	7224
471	6449	7215
472	6465	7204
473	6483	7194
474	6499	7183
475	6518	7175
476	6534	7164
477	6551	7154
478	6569	7145
479	6587	7136
480	6605	7126
481	6620	7114
482	6634	7101
483	6649	7088
484	6662	7074
485	6676	7061
486	6693	7051
487	6705	7035
488	6728	7031
489	6744	7019
490	6759	7007
491	6773	6993
492	6791	6984
493	6807	6972
494	6821	6959
495	6835	6946
496	6849	6932
497	6867	6922
498	6883	6910
499	6895	6895
500	6914	6886
501	6932	6877
502	6948	6865
503	6960	6850
504	6974	6836
505	6990	6824
506	7008	6814
507	7020	6799
508	7036	6788
509	7048	6772
510	7060	6756
511	7074	6742
512	7088	6728
513	7104	6717
514	7120	6705
515	7144	6700
516	7164	6693
517	7180	6681
518	7198	6671
519	7214	6659
520	7232	6649
521	7249	6638
522	7265	6626
523	7281	6614
524	7295	6600
525	7309	6586
526	7326	6576
527	7340	6561
528	7357	6550
529	7374	6539
530	7392	6529
531	7408	6517
532	7421	6502
533	7435	6488
534	7453	6477
535	7468	6465
536	7483	6452
537	7500	6440
538	7517	6429
539	7531	6415
540	7546	6402
541	7559	6388
542	7574	6374
543	7586	6359
544	7601	6346
545	7616	6333
546	7632	6320
547	7646	6307
548	7661	6293
549	7677	6281
550	7697	6272
551	7717	6263
552	7733	6251
553	7752	6241
554	7767	6227
555	7784	6216
556	7801	6205
557	7818	6193
558	7838	6183
559	7857	6173
560	7873	6160
561	7890	6149
562	7906	6136
563	7924	6125
564	7942	6115
565	7961	6105
566	7978	6092
567	7995	6080
568	8009	6066
569	8024	6053
570	8039	6040
571	8055	6027
572	8072	6015
573	8089	6003
574	8104	5989
575	8120	5977
576	8140	5968
577	8159	5957
578	8177	5946
579	8193	5933
580	8209	5920
581	8223	5906
582	8239	5893
583	8256	5881
584	8276	5871
585	8292	5858
586	8306	5844
587	8325	5833
588	8344	5823
589	8364	5812
590	8380	5799
591	8397	5787
592	8409	5771
593	8426	5759
594	8439	5744
595	8455	5731
596	8469	5717
597	8483	5703
598	8498	5689
599	8513	5675
600	8529	5662
601	8547	5650
602	8565	5639
603	8583	5627
604	8602	5616
605	8620	5604
606	8637	5592
607	8659	5582
